Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
01-05-70,0.219252000,0.219978000,0.219252000,0.219252000,20678400,0,0
01-05-70,0.222882000,0.223608000,0.222882000,0.222882000,11692800,0,0
01-05-70,0.227963000,0.229415000,0.227963000,0.227963000,15456000,0,0
01-05-70,0.233772000,0.234498000,0.233772000,0.233772000,12576000,0,0
01-05-70,0.233772000,0.234498000,0.233772000,0.233772000,14208000,0,0
01-05-70,0.232320000,0.232320000,0.230868000,0.230868000,14150400,0,0
01-05-70,0.22941500,0.22941500,0.228689000,0.228689000,8371200,0,0
01-05-70,0.227964000,0.227964000,0.227238000,0.227238000,11616000,0,0
01-05-70,0.225786000,0.225786000,0.225060000,0.225060000,22156800,0,0
01-05-70,0.227238000,0.228690000,0.227238000,0.227238000,7372800,0,0
01-05-70,0.237401000,0.238853000,0.237401000,0.237401000,11424000,0,0
01-05-70,0.244661000,0.24538700,0.244661000,0.244661000,12614400,0,0
01-05-70,0.24611300,0.247565000,0.24611300,0.24611300,24384000,0,0
01-05-70,0.244661000,0.244661000,0.242484000,0.242484000,9523200,0,0
01-05-70,0.24611300,0.248292000,0.24611300,0.24611300,5721600,0,0
01-05-70,0.24756500,0.249018000,0.24756500,0.24756500,6720000,0,0
01-05-70,0.247565000,0.247565000,0.245387000,0.245387000,11193600,0,0
01-05-70,0.248292000,0.249018000,0.248292000,0.248292000,8812800,0,0
01-05-70,0.251922000,0.253374000,0.251922000,0.251922000,5817600,0,0
01-05-70,0.267894000,0.269345000,0.267894000,0.267894000,7276800,0,0
01-05-70,0.268620000,0.271523000,0.268620000,0.268620000,22406400,0,0
01-05-70,0.264989000,0.264989000,0.263537000,0.263537000,12153600,0,0
01-05-70,0.263537000,0.264263000,0.263537000,0.263537000,8793600,0,0
01-05-70,0.261359000,0.261359000,0.259908000,0.259908000,41011200,0,0
01-05-70,0.253374000,0.253374000,0.252648000,0.252648000,7699200,0,0
01-05-70,0.249744000,0.249744000,0.249018000,0.249018000,8889600,0,0
01-05-70,0.254099000,0.255551000,0.254099000,0.254099000,11808000,0,0
01-05-70,0.257004000,0.257730000,0.257004000,0.257004000,11251200,0,0
01-05-70,0.258456000,0.259182000,0.258456000,0.258456000,38515200,0,0
01-05-70,0.258456000,0.259182000,0.258456000,0.258456000,11174400,0,0
01-05-70,0.258456000,0.259182000,0.258456000,0.258456000,20160000,0,0
01-05-70,0.258456000,0.258456000,0.257730000,0.257730000,3513600,0,0
01-05-70,0.256277000,0.256277000,0.255551000,0.255551000,6451200,0,0
01-05-70,0.254825000,0.254825000,0.254099000,0.254099000,15552000,0,0
01-05-70,0.257730000,0.258456000,0.257730000,0.257730000,6816000,0,0
01-05-70,0.265716000,0.267168000,0.265716000,0.265716000,9292800,0,0
01-05-70,0.267894000,0.269345000,0.267894000,0.267894000,16147200,0,0
01-05-70,0.267168000,0.267168000,0.266442000,0.266442000,6259200,0,0
